WAA ID,MSSIH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVMILE,MSSIH_EVENT_SMAS_SAMPLE_DATE,MSSIH_REPLICATE,MSSIH_BIOSAMPLE_COLLECT_METHOD,MSSIH_TAXONOMIST,MSDH_GENSPECIES,MSDH_INDIVIDUAL_SPECIES_CNT,MSSIH_TOTAL_INDIV_CNT_IND,MSSIH_TOTAL_INDIV_CNT_NOTE,PercentWTSorted,#_Grids,Presence/Absence_%,PDE_(precision counts)_%,PTD_(taxonomic_disagreement)_%,Client_Project_Name
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,promoresia_tardella,35,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,ceratopsyche_sparna,14,100,1 agg,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,micropsectra_sp.,14,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,eurylophella_sp.,6,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,hydroptila_sp.,6,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,oulimnius_sp.,4,100,1A,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,maccaffertium_sp.,3,100,early,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,rheotanytarsus_pellucidus,2,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,molanna_sp.,2,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,rheotanytarsus_exiguus_gr.,2,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,parametriocnemus_sp.,2,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,tipula_sp.,2,100,1 agg,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,leuctra_sp.,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,pycnopsyche_sp.,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,microtendipes_pedellus_gr.,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,polypedilum_illinoense,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,lanthus_sp.,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,thienemannimyia_gr._spp.,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,cricotopus/orthocladius_complex,1,100,,35.99439776,,,,,RMN
470.16-001,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,1,Kick: Standard,WAA,polypedilum_flavum,1,100,,35.99439776,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,eurylophella_sp.,25,100,1 agg,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,micropsectra_sp.,18,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,maccaffertium_meririvulanum,12,100,10 agg,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,oulimnius_sp.,9,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,leuctra_sp.,5,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,stenacron_sp.,4,100,early,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,lanthus_sp.,3,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,dicranota_sp.,3,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,microtendipes_pedellus_gr.,2,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,brillia_sp.,2,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,paraleptophlebia_sp.,2,100,1 agg,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,thienemannimyia_gr._spp.,2,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,leucrocuta_sp.,2,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,parametriocnemus_sp.,2,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,promoresia_tardella,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,polypedilum_aviceps,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,cricotopus/orthocladius_complex,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,pisidium_sp.,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,acerpenna_macdunnoughi,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,isoperla_sp.,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,tipula_sp.,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,diphetor_hageni,1,100,,70.1986755,,,,,RMN
470.16-002,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,2,Kick: Standard,WAA,optioservus_sp.,1,100,,70.1986755,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,micropsectra_sp.,31,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,dicranota_sp.,9,100,,53.95146235,,,,,RMN
